Tiempo (s) Serie Nº 1;Voltaje, Ch A (V) Serie Nº 1;Voltaje, Ch B (V) Serie Nº 1;Voltaje, Ch C (V) Serie Nº 1;Volum (cm³) Serie Nº 1;Pressió (kPa) Serie Nº 1;Temperatura (K) Serie Nº 1
1,745;1,016;0,942;0,244;80,92;101,56;298,90
1,750;1,016;0,937;0,249;81,07;101,56;298,58
1,755;1,021;0,947;0,244;80,92;102,05;299,21
1,760;1,016;0,942;0,249;81,07;101,56;298,90
1,765;1,016;0,942;0,244;80,92;101,56;298,90
1,770;1,016;0,942;0,249;81,07;101,56;298,90
1,775;1,016;0,942;0,244;80,92;101,56;298,90
1,780;1,016;0,942;0,244;80,92;101,56;298,90
1,785;1,016;0,937;0,249;81,07;101,56;298,58
1,790;1,016;0,937;0,244;80,92;101,56;298,58
1,795;1,016;0,942;0,244;80,92;101,56;298,90
1,800;1,016;0,937;0,244;80,92;101,56;298,58
1,805;1,016;0,942;0,244;80,92;101,56;298,90
1,810;1,016;0,942;0,244;80,92;101,56;298,90
1,815;1,016;0,937;0,244;80,92;101,56;298,58
1,820;1,016;0,942;0,249;81,07;101,56;298,90
1,825;1,016;0,942;0,249;81,07;101,56;298,90
1,830;1,016;0,937;0,244;80,92;101,56;298,58
1,835;1,016;0,942;0,249;81,07;101,56;298,90
1,840;1,016;0,942;0,244;80,92;101,56;298,90
1,845;1,021;0,942;0,244;80,92;102,05;298,90
1,850;1,011;0,942;0,249;81,07;101,07;298,90
1,855;1,016;0,942;0,249;81,07;101,56;298,90
1,860;1,016;0,942;0,244;80,92;101,56;298,90
1,865;1,016;0,937;0,249;81,07;101,56;298,58
1,870;1,016;0,942;0,244;80,92;101,56;298,90
1,875;1,016;0,942;0,244;80,92;101,56;298,90
1,880;1,016;0,942;0,249;81,07;101,56;298,90
1,885;1,016;0,942;0,254;81,22;101,56;298,90
1,890;1,016;0,942;0,249;81,07;101,56;298,90
1,895;1,016;0,942;0,244;80,92;101,56;298,90
1,900;1,016;0,942;0,249;81,07;101,56;298,90
1,905;1,021;0,942;0,249;81,07;102,05;298,90
1,910;1,016;0,942;0,249;81,07;101,56;298,90
1,915;1,016;0,942;0,254;81,22;101,56;298,90
1,920;1,016;0,942;0,244;80,92;101,56;298,90
1,925;1,016;0,942;0,249;81,07;101,56;298,90
1,930;1,016;0,942;0,244;80,92;101,56;298,90
1,935;1,016;0,942;0,244;80,92;101,56;298,90
1,940;1,016;0,942;0,244;80,92;101,56;298,90
1,945;1,016;0,942;0,244;80,92;101,56;298,90
1,950;1,016;0,942;0,244;80,92;101,56;298,90
