Tiempo (s) Serie Nº 1;Voltaje, Ch A (V) Serie Nº 1;Voltaje, Ch B (V) Serie Nº 1;Voltaje, Ch C (V) Serie Nº 1;Volum (cm³) Serie Nº 1;Pressió (kPa) Serie Nº 1;Temperatura (K) Serie Nº 1
1,840;1,040;0,947;0,220;80,16;104,00;299,21
1,845;1,045;0,947;0,220;80,16;104,49;299,21
1,850;1,040;0,947;0,220;80,16;104,00;299,21
1,855;1,040;0,952;0,220;80,16;104,00;299,53
1,860;1,040;0,947;0,220;80,16;104,00;299,21
1,865;1,040;0,937;0,225;80,31;104,00;298,58
1,870;1,040;0,952;0,220;80,16;104,00;299,53
1,875;1,040;0,947;0,220;80,16;104,00;299,21
1,880;1,040;0,952;0,220;80,16;104,00;299,53
1,885;1,040;0,947;0,220;80,16;104,00;299,21
1,890;1,040;0,947;0,220;80,16;104,00;299,21
1,895;1,040;0,952;0,220;80,16;104,00;299,53
1,900;1,040;0,947;0,225;80,31;104,00;299,21
1,905;1,040;0,952;0,234;80,61;104,00;299,53
1,910;1,040;0,947;0,225;80,31;104,00;299,21
1,915;1,040;0,952;0,220;80,16;104,00;299,53
1,920;1,040;0,947;0,215;80,00;104,00;299,21
1,925;1,040;0,947;0,225;80,31;104,00;299,21
1,930;1,035;0,947;0,210;79,85;103,52;299,21
1,935;1,045;0,947;0,220;80,16;104,49;299,21
1,940;1,040;0,952;0,220;80,16;104,00;299,53
1,945;1,040;0,947;0,220;80,16;104,00;299,21
1,950;1,040;0,947;0,225;80,31;104,00;299,21
1,955;1,045;0,947;0,220;80,16;104,49;299,21
1,960;1,040;0,947;0,220;80,16;104,00;299,21
1,965;1,040;0,947;0,225;80,31;104,00;299,21
1,970;1,040;0,947;0,220;80,16;104,00;299,21
1,975;1,040;0,952;0,220;80,16;104,00;299,53
1,980;1,045;0,952;0,220;80,16;104,49;299,53
1,985;1,040;0,952;0,225;80,31;104,00;299,53
1,990;1,040;0,947;0,220;80,16;104,00;299,21
1,995;1,040;0,947;0,220;80,16;104,00;299,21
2,000;1,040;0,947;0,220;80,16;104,00;299,21
2,005;1,040;0,947;0,225;80,31;104,00;299,21
2,010;1,040;0,947;0,220;80,16;104,00;299,21
2,015;1,040;0,952;0,220;80,16;104,00;299,53
2,020;1,040;0,947;0,220;80,16;104,00;299,21
2,025;1,040;0,947;0,220;80,16;104,00;299,21
2,030;1,040;0,952;0,220;80,16;104,00;299,53
2,035;1,040;0,952;0,220;80,16;104,00;299,53
2,040;1,040;0,947;0,225;80,31;104,00;299,21
2,045;1,040;0,947;0,220;80,16;104,00;299,21
2,050;1,035;0,947;0,220;80,16;103,52;299,21
2,055;1,040;0,947;0,220;80,16;104,00;299,21
2,060;1,040;0,952;0,225;80,31;104,00;299,53
2,065;1,045;0,947;0,225;80,31;104,49;299,21
2,070;1,040;0,947;0,225;80,31;104,00;299,21
2,075;1,040;0,952;0,220;80,16;104,00;299,53
2,080;1,040;0,952;0,220;80,16;104,00;299,53
2,085;1,040;0,947;0,220;80,16;104,00;299,21
2,090;1,045;0,947;0,220;80,16;104,49;299,21
2,095;1,040;0,947;0,225;80,31;104,00;299,21
2,100;1,045;0,947;0,220;80,16;104,49;299,21
2,105;1,040;0,947;0,220;80,16;104,00;299,21
2,110;1,045;0,947;0,220;80,16;104,49;299,21
2,115;1,040;0,947;0,220;80,16;104,00;299,21
2,120;1,040;0,947;0,220;80,16;104,00;299,21
2,125;1,040;0,947;0,225;80,31;104,00;299,21
2,130;1,040;0,952;0,220;80,16;104,00;299,53
2,135;1,040;0,947;0,220;80,16;104,00;299,21
2,140;1,040;0,947;0,220;80,16;104,00;299,21
2,145;1,040;0,947;0,244;80,92;104,00;299,21
2,150;1,040;0,952;0,225;80,31;104,00;299,53
2,155;1,040;0,942;0,225;80,31;104,00;298,90
2,160;1,040;0,952;0,220;80,16;104,00;299,53
2,165;1,040;0,947;0,225;80,31;104,00;299,21
2,170;1,040;0,952;0,220;80,16;104,00;299,53
2,175;1,040;0,947;0,220;80,16;104,00;299,21
2,180;1,045;0,947;0,220;80,16;104,49;299,21
2,185;1,040;0,947;0,220;80,16;104,00;299,21
2,190;1,040;0,947;0,220;80,16;104,00;299,21
2,195;1,040;0,952;0,220;80,16;104,00;299,53
2,200;1,045;0,947;0,220;80,16;104,49;299,21
2,205;1,040;0,947;0,225;80,31;104,00;299,21
2,210;1,040;0,947;0,220;80,16;104,00;299,21
2,215;1,040;0,952;0,220;80,16;104,00;299,53
2,220;1,040;0,947;0,220;80,16;104,00;299,21
2,225;1,045;0,947;0,220;80,16;104,49;299,21
2,230;1,040;0,952;0,220;80,16;104,00;299,53
2,235;1,045;0,947;0,220;80,16;104,49;299,21
2,240;1,045;0,947;0,225;80,31;104,49;299,21
2,245;1,040;0,947;0,220;80,16;104,00;299,21
2,250;1,045;0,952;0,225;80,31;104,49;299,53
2,255;1,040;0,947;0,220;80,16;104,00;299,21
2,260;1,040;0,947;0,220;80,16;104,00;299,21
2,265;1,040;0,947;0,220;80,16;104,00;299,21
2,270;1,040;0,947;0,220;80,16;104,00;299,21
2,275;1,040;0,952;0,225;80,31;104,00;299,53
2,280;1,045;0,947;0,220;80,16;104,49;299,21
2,285;1,040;0,952;0,225;80,31;104,00;299,53
2,290;1,040;0,947;0,220;80,16;104,00;299,21
2,295;1,045;0,952;0,220;80,16;104,49;299,53
