Tiempo (s) Serie Nº 1;Voltaje, Ch A (V) Serie Nº 1;Voltaje, Ch B (V) Serie Nº 1;Voltaje, Ch C (V) Serie Nº 1;Volum (cm³) Serie Nº 1;Pressió (kPa) Serie Nº 1;Temperatura (K) Serie Nº 1
1,755;1,001;0,942;0,264;81,53;100,10;298,90
1,760;1,001;0,942;0,264;81,53;100,10;298,90
1,765;1,001;0,942;0,264;81,53;100,10;298,90
1,770;1,001;0,942;0,264;81,53;100,10;298,90
1,775;1,001;0,942;0,264;81,53;100,10;298,90
1,780;1,001;0,942;0,264;81,53;100,10;298,90
1,785;1,001;0,942;0,264;81,53;100,10;298,90
1,790;1,001;0,942;0,264;81,53;100,10;298,90
1,795;0,996;0,942;0,259;81,37;99,61;298,90
1,800;0,991;0,942;0,264;81,53;99,12;298,90
1,805;0,996;0,942;0,264;81,53;99,61;298,90
1,810;1,001;0,942;0,264;81,53;100,10;298,90
1,815;0,996;0,942;0,269;81,68;99,61;298,90
1,820;1,001;0,942;0,264;81,53;100,10;298,90
1,825;1,001;0,942;0,264;81,53;100,10;298,90
1,830;1,001;0,942;0,264;81,53;100,10;298,90
1,835;1,001;0,942;0,264;81,53;100,10;298,90
1,840;0,996;0,942;0,264;81,53;99,61;298,90
1,845;1,001;0,942;0,264;81,53;100,10;298,90
1,850;1,001;0,933;0,264;81,53;100,10;298,26
1,855;0,996;0,942;0,264;81,53;99,61;298,90
1,860;1,001;0,942;0,264;81,53;100,10;298,90
1,865;0,991;0,937;0,264;81,53;99,12;298,58
1,870;1,001;0,942;0,264;81,53;100,10;298,90
1,875;1,001;0,942;0,264;81,53;100,10;298,90
1,880;1,001;0,942;0,264;81,53;100,10;298,90
1,885;1,001;0,942;0,264;81,53;100,10;298,90
1,890;0,996;0,942;0,254;81,22;99,61;298,90
1,895;1,001;0,942;0,264;81,53;100,10;298,90
1,900;1,001;0,942;0,264;81,53;100,10;298,90
1,905;0,996;0,942;0,239;80,76;99,61;298,90
1,910;0,996;0,942;0,234;80,61;99,61;298,90
1,915;0,996;0,942;0,264;81,53;99,61;298,90
1,920;1,001;0,942;0,254;81,22;100,10;298,90
1,925;1,001;0,942;0,269;81,68;100,10;298,90
1,930;0,996;0,942;0,273;81,83;99,61;298,90
1,935;1,001;0,942;0,264;81,53;100,10;298,90
1,940;0,996;0,942;0,259;81,37;99,61;298,90
1,945;1,001;0,942;0,264;81,53;100,10;298,90
1,950;1,001;0,942;0,264;81,53;100,10;298,90
1,955;0,996;0,942;0,264;81,53;99,61;298,90
1,960;1,001;0,942;0,264;81,53;100,10;298,90
1,965;1,001;0,942;0,264;81,53;100,10;298,90
1,970;1,001;0,942;0,264;81,53;100,10;298,90
1,975;0,991;0,942;0,264;81,53;99,12;298,90
1,980;0,996;0,942;0,264;81,53;99,61;298,90
1,985;1,001;0,942;0,264;81,53;100,10;298,90
1,990;0,996;0,942;0,264;81,53;99,61;298,90
1,995;1,001;0,952;0,264;81,53;100,10;299,53
2,000;1,001;0,942;0,264;81,53;100,10;298,90
2,005;0,996;0,942;0,264;81,53;99,61;298,90
2,010;1,001;0,942;0,264;81,53;100,10;298,90
2,015;1,001;0,942;0,264;81,53;100,10;298,90
2,020;1,001;0,942;0,264;81,53;100,10;298,90
2,025;1,001;0,942;0,264;81,53;100,10;298,90
2,030;1,001;0,942;0,264;81,53;100,10;298,90
2,035;1,001;0,942;0,264;81,53;100,10;298,90
2,040;0,996;0,942;0,264;81,53;99,61;298,90
2,045;0,996;0,942;0,264;81,53;99,61;298,90
2,050;1,001;0,942;0,264;81,53;100,10;298,90
2,055;1,001;0,942;0,264;81,53;100,10;298,90
2,060;1,001;0,947;0,264;81,53;100,10;299,21
2,065;1,001;0,942;0,264;81,53;100,10;298,90
2,070;0,996;0,942;0,264;81,53;99,61;298,90
2,075;1,001;0,942;0,264;81,53;100,10;298,90
2,080;1,001;0,942;0,254;81,22;100,10;298,90
2,085;1,001;0,942;0,264;81,53;100,10;298,90
2,090;1,001;0,942;0,264;81,53;100,10;298,90
2,095;0,996;0,942;0,264;81,53;99,61;298,90
2,100;1,001;0,942;0,264;81,53;100,10;298,90
2,105;1,001;0,942;0,264;81,53;100,10;298,90
2,110;0,996;0,942;0,264;81,53;99,61;298,90
2,115;1,001;0,942;0,264;81,53;100,10;298,90
2,120;0,996;0,942;0,264;81,53;99,61;298,90
2,125;1,001;0,942;0,264;81,53;100,10;298,90
2,130;1,001;0,942;0,264;81,53;100,10;298,90
2,135;0,996;0,942;0,273;81,83;99,61;298,90
2,140;1,001;0,942;0,264;81,53;100,10;298,90
2,145;1,001;0,942;0,273;81,83;100,10;298,90
2,150;1,001;0,942;0,264;81,53;100,10;298,90
2,155;1,001;0,942;0,259;81,37;100,10;298,90
2,160;0,996;0,942;0,264;81,53;99,61;298,90
2,165;1,001;0,942;0,264;81,53;100,10;298,90
2,170;1,001;0,942;0,269;81,68;100,10;298,90
2,175;1,001;0,937;0,264;81,53;100,10;298,58
2,180;1,001;0,942;0,264;81,53;100,10;298,90
2,185;0,996;0,942;0,264;81,53;99,61;298,90
2,190;1,001;0,942;0,264;81,53;100,10;298,90
2,195;1,001;0,942;0,264;81,53;100,10;298,90
2,200;0,996;0,942;0,264;81,53;99,61;298,90
