Tiempo (s) Serie Nº 1;Voltaje, Ch A (V) Serie Nº 1;Voltaje, Ch B (V) Serie Nº 1;Voltaje, Ch C (V) Serie Nº 1;Volum (cm³) Serie Nº 1;Pressió (kPa) Serie Nº 1;Temperatura (K) Serie Nº 1
1,105;1,011;0,923;4,209;204,62;101,07;297,62
1,110;1,011;0,923;4,209;204,62;101,07;297,62
1,115;1,011;0,923;4,209;204,62;101,07;297,62
1,120;1,011;0,923;4,219;204,93;101,07;297,62
1,125;1,016;0,923;4,209;204,62;101,56;297,62
1,130;1,006;0,923;4,214;204,77;100,59;297,62
1,135;1,016;0,923;4,209;204,62;101,56;297,62
1,140;1,011;0,923;4,219;204,93;101,07;297,62
1,145;1,011;0,923;4,214;204,77;101,07;297,62
1,150;1,016;0,923;4,209;204,62;101,56;297,62
1,155;1,011;0,923;4,214;204,77;101,07;297,62
1,160;1,016;0,923;4,209;204,62;101,56;297,62
1,165;1,011;0,923;4,214;204,77;101,07;297,62
1,170;1,011;0,923;4,214;204,77;101,07;297,62
1,175;1,011;0,928;4,209;204,62;101,07;297,94
1,180;1,006;0,918;4,209;204,62;100,59;297,31
1,185;1,011;0,923;4,209;204,62;101,07;297,62
1,190;1,011;0,928;4,209;204,62;101,07;297,94
1,195;1,016;0,923;4,209;204,62;101,56;297,62
1,200;1,011;0,928;4,209;204,62;101,07;297,94
1,205;1,006;0,923;4,209;204,62;100,59;297,62
1,210;1,011;0,928;4,209;204,62;101,07;297,94
1,215;1,011;0,928;4,209;204,62;101,07;297,94
1,220;1,016;0,928;4,224;205,08;101,56;297,94
1,225;1,011;0,928;4,209;204,62;101,07;297,94
1,230;1,006;0,918;4,219;204,93;100,59;297,31
1,235;1,011;0,923;4,214;204,77;101,07;297,62
1,240;1,016;0,928;4,214;204,77;101,56;297,94
1,245;1,016;0,923;4,209;204,62;101,56;297,62
1,250;1,011;0,918;4,214;204,77;101,07;297,31
1,255;1,011;0,923;4,214;204,77;101,07;297,62
1,260;1,011;0,923;4,209;204,62;101,07;297,62
1,265;1,011;0,928;4,219;204,93;101,07;297,94
1,270;1,016;0,928;4,209;204,62;101,56;297,94
1,275;1,011;0,928;4,209;204,62;101,07;297,94
1,280;1,011;0,928;4,219;204,93;101,07;297,94
1,285;1,011;0,928;4,209;204,62;101,07;297,94
1,290;1,011;0,928;4,204;204,47;101,07;297,94
1,295;1,011;0,928;4,219;204,93;101,07;297,94
1,300;1,016;0,928;4,180;203,71;101,56;297,94
1,305;1,011;0,928;4,214;204,77;101,07;297,94
1,310;1,016;0,923;4,243;205,69;101,56;297,62
1,315;1,016;0,928;4,209;204,62;101,56;297,94
1,320;1,011;0,928;4,209;204,62;101,07;297,94
1,325;1,011;0,928;4,209;204,62;101,07;297,94
1,330;1,011;0,923;4,214;204,77;101,07;297,62
1,335;1,016;0,928;4,214;204,77;101,56;297,94
1,340;1,016;0,928;4,214;204,77;101,56;297,94
1,345;1,011;0,923;4,209;204,62;101,07;297,62
1,350;1,016;0,937;4,209;204,62;101,56;298,58
1,355;1,011;0,928;4,209;204,62;101,07;297,94
1,360;1,016;0,928;4,214;204,77;101,56;297,94
1,365;1,011;0,928;4,209;204,62;101,07;297,94
1,370;1,006;0,928;4,219;204,93;100,59;297,94
1,375;1,016;0,928;4,209;204,62;101,56;297,94
1,380;1,011;0,928;4,209;204,62;101,07;297,94
1,385;1,016;0,928;4,209;204,62;101,56;297,94
1,390;1,016;0,933;4,209;204,62;101,56;298,26
1,395;1,011;0,928;4,194;204,16;101,07;297,94
1,400;1,016;0,928;4,209;204,62;101,56;297,94
1,405;1,011;0,928;4,214;204,77;101,07;297,94
1,410;1,011;0,928;4,224;205,08;101,07;297,94
1,415;1,011;0,928;4,219;204,93;101,07;297,94
1,420;1,011;0,928;4,219;204,93;101,07;297,94
1,425;1,016;0,928;4,209;204,62;101,56;297,94
1,430;1,006;0,923;4,214;204,77;100,59;297,62
1,435;1,016;0,928;4,209;204,62;101,56;297,94
1,440;1,011;0,928;4,209;204,62;101,07;297,94
1,445;1,016;0,928;4,214;204,77;101,56;297,94
1,450;1,011;0,928;4,209;204,62;101,07;297,94
1,455;1,011;0,928;4,209;204,62;101,07;297,94
1,460;1,016;0,928;4,209;204,62;101,56;297,94
1,465;1,011;0,928;4,209;204,62;101,07;297,94
1,470;1,011;0,928;4,209;204,62;101,07;297,94
1,475;1,016;0,928;4,214;204,77;101,56;297,94
1,480;1,011;0,928;4,209;204,62;101,07;297,94
1,485;1,016;0,928;4,209;204,62;101,56;297,94
1,490;1,006;0,928;4,214;204,77;100,59;297,94
1,495;1,011;0,928;4,209;204,62;101,07;297,94
1,500;1,016;0,928;4,209;204,62;101,56;297,94
1,505;1,011;0,928;4,209;204,62;101,07;297,94
1,510;1,016;0,928;4,204;204,47;101,56;297,94
1,515;1,011;0,928;4,189;204,01;101,07;297,94
1,520;1,021;0,928;4,165;203,25;102,05;297,94
1,525;1,025;0,937;4,126;202,03;102,54;298,58
1,530;1,035;0,937;4,072;200,35;103,52;298,58
1,535;1,050;0,942;4,009;198,37;104,98;298,90
1,540;1,060;0,947;3,926;195,78;105,96;299,21
1,545;1,084;0,957;3,833;192,89;108,40;299,85
1,550;1,108;0,967;3,730;189,69;110,84;300,49
1,555;1,133;0,986;3,604;185,73;113,28;301,76
1,560;1,167;1,001;3,462;181,31;116,70;302,71
1,565;1,201;1,021;3,311;176,59;120,12;303,99
1,570;1,250;1,045;3,135;171,10;125,00;305,58
1,575;1,299;1,074;2,949;165,32;129,88;307,49
1,580;1,362;1,113;2,744;158,92;136,23;310,03
1,585;1,436;1,147;2,520;151,91;143,55;312,26
1,590;1,519;1,196;2,285;144,60;151,86;315,44
1,595;1,621;1,250;2,036;136,83;162,11;318,94
1,600;1,738;1,309;1,777;128,75;173,83;322,75
1,605;1,875;1,377;1,519;120,68;187,50;327,21
1,610;2,036;1,455;1,255;112,45;203,61;332,30
1,615;2,207;1,538;1,011;104,84;220,70;337,71
1,620;2,402;1,631;0,781;97,68;240,23;343,75
1,625;2,603;1,738;0,571;91,12;260,25;350,75
1,630;2,798;1,841;0,400;85,79;279,79;357,43
1,635;2,974;1,948;0,269;81,68;297,36;364,43
1,640;3,027;2,046;0,244;80,92;302,73;370,79
1,645;3,018;2,119;0,244;80,92;301,76;375,56
1,650;2,983;2,188;0,273;81,83;298,34;380,02
1,655;2,925;2,217;0,322;83,35;292,48;381,92
1,660;2,861;2,236;0,361;84,57;286,13;383,20
1,665;2,783;2,246;0,420;86,40;278,32;383,83
1,670;2,715;2,246;0,479;88,23;271,48;383,83
1,675;2,646;2,227;0,542;90,21;264,65;382,56
1,680;2,578;2,197;0,601;92,04;257,81;380,65
1,685;2,505;2,173;0,664;94,02;250,49;379,06
1,690;2,441;2,148;0,732;96,15;244,14;377,47
1,695;2,383;2,109;0,791;97,98;238,28;374,93
1,700;2,324;2,075;0,850;99,81;232,42;372,70
1,705;2,275;2,041;0,903;101,48;227,54;370,47
1,710;2,236;2,012;0,942;102,70;223,63;368,56
1,715;2,197;1,978;0,986;104,07;219,73;366,34
1,720;2,173;1,953;1,021;105,14;217,29;364,75
1,725;2,148;1,924;1,055;106,21;214,84;362,84
1,730;2,114;1,899;1,094;107,43;211,43;361,25
1,735;2,090;1,875;1,123;108,34;208,98;359,66
1,740;2,056;1,855;1,177;110,01;205,57;358,38
1,745;2,031;1,836;1,211;111,08;203,12;357,11
1,750;1,992;1,812;1,260;112,60;199,22;355,52
1,755;1,953;1,787;1,318;114,43;195,31;353,93
1,760;1,914;1,763;1,382;116,41;191,41;352,34
1,765;1,865;1,733;1,460;118,85;186,52;350,43
1,770;1,826;1,704;1,533;121,14;182,62;348,52
1,775;1,777;1,670;1,621;123,88;177,73;346,30
1,780;1,729;1,631;1,709;126,62;172,85;343,75
1,785;1,680;1,602;1,807;129,67;167,97;341,84
1,790;1,631;1,562;1,899;132,56;163,09;339,30
1,795;1,592;1,523;1,997;135,61;159,18;336,75
1,800;1,548;1,484;2,100;138,81;154,79;334,21
1,805;1,509;1,445;2,192;141,70;150,88;331,66
1,810;1,470;1,411;2,285;144,60;146,97;329,44
1,815;1,436;1,372;2,378;147,49;143,55;326,89
1,820;1,406;1,328;2,466;150,23;140,62;324,03
1,825;1,372;1,299;2,544;152,67;137,21;322,12
1,830;1,353;1,274;2,617;154,96;135,25;320,53
1,835;1,328;1,240;2,686;157,09;132,81;318,30
1,840;1,309;1,211;2,744;158,92;130,86;316,39
1,845;1,294;1,182;2,793;160,44;129,39;314,48
1,850;1,279;1,162;2,837;161,81;127,93;313,21
1,855;1,270;1,138;2,871;162,88;126,95;311,62
1,860;1,260;1,123;2,905;163,94;125,98;310,67
1,865;1,250;1,104;2,930;164,71;125,00;309,39
1,870;1,250;1,094;2,944;165,16;125,00;308,76
1,875;1,245;1,079;2,954;165,47;124,51;307,80
1,880;1,245;1,069;2,959;165,62;124,51;307,17
1,885;1,245;1,060;2,969;165,93;124,51;306,53
1,890;1,245;1,055;2,969;165,93;124,51;306,21
1,895;1,240;1,045;2,969;165,93;124,02;305,58
1,900;1,240;1,045;2,964;165,77;124,02;305,58
1,905;1,250;1,040;2,969;165,93;125,00;305,26
1,910;1,240;1,035;2,944;165,16;124,02;304,94
1,915;1,240;1,035;2,974;166,08;124,02;304,94
1,920;1,240;1,035;2,974;166,08;124,02;304,94
1,925;1,240;1,035;2,974;166,08;124,02;304,94
1,930;1,240;1,030;2,974;166,08;124,02;304,62
1,935;1,240;1,030;2,974;166,08;124,02;304,62
1,940;1,240;1,035;2,969;165,93;124,02;304,94
1,945;1,240;1,035;2,974;166,08;124,02;304,94
1,950;1,240;1,040;2,979;166,23;124,02;305,26
1,955;1,240;1,030;2,979;166,23;124,02;304,62
1,960;1,240;1,035;2,979;166,23;124,02;304,94
1,965;1,240;1,025;2,974;166,08;124,02;304,30
1,970;1,240;1,035;2,979;166,23;124,02;304,94
1,975;1,240;1,035;2,979;166,23;124,02;304,94
1,980;1,240;1,035;2,979;166,23;124,02;304,94
1,985;1,240;1,035;2,974;166,08;124,02;304,94
1,990;1,240;1,035;2,969;165,93;124,02;304,94
1,995;1,235;1,035;2,979;166,23;123,54;304,94
2,000;1,240;1,035;2,974;166,08;124,02;304,94
2,005;1,240;1,035;2,993;166,69;124,02;304,94
2,010;1,240;1,035;2,969;165,93;124,02;304,94
2,015;1,240;1,035;2,979;166,23;124,02;304,94
2,020;1,235;1,040;2,988;166,53;123,54;305,26
2,025;1,240;1,040;2,979;166,23;124,02;305,26
2,030;1,240;1,040;2,988;166,53;124,02;305,26
2,035;1,240;1,040;2,979;166,23;124,02;305,26
2,040;1,240;1,040;2,979;166,23;124,02;305,26
2,045;1,235;1,045;2,979;166,23;123,54;305,58
2,050;1,240;1,045;2,998;166,84;124,02;305,58
2,055;1,240;1,045;2,979;166,23;124,02;305,58
2,060;1,235;1,045;2,983;166,38;123,54;305,58
2,065;1,240;1,045;2,979;166,23;124,02;305,58
2,070;1,235;1,045;2,983;166,38;123,54;305,58
2,075;1,240;1,045;2,979;166,23;124,02;305,58
2,080;1,240;1,045;2,979;166,23;124,02;305,58
2,085;1,240;1,045;2,979;166,23;124,02;305,58
2,090;1,240;1,035;2,979;166,23;124,02;304,94
2,095;1,235;1,045;2,979;166,23;123,54;305,58
2,100;1,240;1,045;2,979;166,23;124,02;305,58
2,105;1,240;1,045;2,979;166,23;124,02;305,58
2,110;1,235;1,045;2,979;166,23;123,54;305,58
2,115;1,240;1,050;2,979;166,23;124,02;305,89
2,120;1,235;1,050;2,983;166,38;123,54;305,89
2,125;1,240;1,050;2,979;166,23;124,02;305,89
2,130;1,230;1,055;2,979;166,23;123,05;306,21
2,135;1,235;1,050;2,979;166,23;123,54;305,89
2,140;1,245;1,055;2,979;166,23;124,51;306,21
2,145;1,235;1,050;2,979;166,23;123,54;305,89
2,150;1,240;1,050;2,979;166,23;124,02;305,89
