Tiempo (s) Serie Nº 1;Voltaje, Ch A (V) Serie Nº 1;Voltaje, Ch B (V) Serie Nº 1;Voltaje, Ch C (V) Serie Nº 1;Volum (cm³) Serie Nº 1;Pressió (kPa) Serie Nº 1;Temperatura (K) Serie Nº 1
0,910;1,030;0,942;4,517;214,22;103,03;298,90
0,915;1,030;0,947;4,512;214,07;103,03;299,21
0,920;1,030;0,937;4,512;214,07;103,03;298,58
0,925;1,030;0,947;4,512;214,07;103,03;299,21
0,930;1,025;0,947;4,517;214,22;102,54;299,21
0,935;1,030;0,942;4,512;214,07;103,03;298,90
0,940;1,030;0,947;4,517;214,22;103,03;299,21
0,945;1,030;0,947;4,512;214,07;103,03;299,21
0,950;1,030;0,947;4,517;214,22;103,03;299,21
0,955;1,030;0,947;4,517;214,22;103,03;299,21
0,960;1,035;0,947;4,512;214,07;103,52;299,21
0,965;1,025;0,947;4,517;214,22;102,54;299,21
0,970;1,030;0,942;4,512;214,07;103,03;298,90
0,975;1,030;0,947;4,512;214,07;103,03;299,21
0,980;1,030;0,942;4,517;214,22;103,03;298,90
0,985;1,030;0,942;4,517;214,22;103,03;298,90
0,990;1,030;0,942;4,517;214,22;103,03;298,90
0,995;1,030;0,947;4,512;214,07;103,03;299,21
1,000;1,025;0,942;4,517;214,22;102,54;298,90
1,005;1,030;0,947;4,512;214,07;103,03;299,21
1,010;1,030;0,947;4,517;214,22;103,03;299,21
1,015;1,030;0,947;4,517;214,22;103,03;299,21
1,020;1,030;0,947;4,517;214,22;103,03;299,21
1,025;1,030;0,942;4,512;214,07;103,03;298,90
1,030;1,030;0,947;4,517;214,22;103,03;299,21
1,035;1,025;0,947;4,517;214,22;102,54;299,21
1,040;1,030;0,947;4,512;214,07;103,03;299,21
1,045;1,030;0,947;4,517;214,22;103,03;299,21
1,050;1,030;0,947;4,517;214,22;103,03;299,21
1,055;1,030;0,947;4,517;214,22;103,03;299,21
1,060;1,030;0,947;4,512;214,07;103,03;299,21
1,065;1,030;0,947;4,512;214,07;103,03;299,21
1,070;1,025;0,947;4,512;214,07;102,54;299,21
1,075;1,030;0,942;4,512;214,07;103,03;298,90
1,080;1,025;0,947;4,512;214,07;102,54;299,21
1,085;1,030;0,942;4,517;214,22;103,03;298,90
1,090;1,030;0,947;4,517;214,22;103,03;299,21
1,095;1,025;0,942;4,517;214,22;102,54;298,90
1,100;1,030;0,942;4,512;214,07;103,03;298,90
1,105;1,025;0,947;4,517;214,22;102,54;299,21
1,110;1,030;0,942;4,512;214,07;103,03;298,90
1,115;1,030;0,947;4,517;214,22;103,03;299,21
1,120;1,030;0,942;4,531;214,68;103,03;298,90
1,125;1,030;0,947;4,517;214,22;103,03;299,21
1,130;1,030;0,947;4,517;214,22;103,03;299,21
1,135;1,030;0,942;4,512;214,07;103,03;298,90
1,140;1,025;0,947;4,512;214,07;102,54;299,21
1,145;1,030;0,942;4,517;214,22;103,03;298,90
1,150;1,030;0,947;4,512;214,07;103,03;299,21
1,155;1,030;0,942;4,512;214,07;103,03;298,90
1,160;1,030;0,942;4,512;214,07;103,03;298,90
1,165;1,025;0,942;4,512;214,07;102,54;298,90
1,170;1,030;0,942;4,512;214,07;103,03;298,90
