Tiempo (s) Serie Nº 1;Voltaje, Ch A (V) Serie Nº 1;Voltaje, Ch B (V) Serie Nº 1;Voltaje, Ch C (V) Serie Nº 1;Volum (cm³) Serie Nº 1;Pressió (kPa) Serie Nº 1;Temperatura (K) Serie Nº 1
1,230;1,016;0,937;4,478;213,00;101,56;298,58
1,235;1,016;0,937;4,473;212,85;101,56;298,58
1,240;1,016;0,942;4,473;212,85;101,56;298,90
1,245;1,016;0,937;4,473;212,85;101,56;298,58
1,250;1,016;0,937;4,473;212,85;101,56;298,58
1,255;1,016;0,937;4,478;213,00;101,56;298,58
1,260;1,016;0,937;4,473;212,85;101,56;298,58
1,265;1,016;0,937;4,473;212,85;101,56;298,58
1,270;1,016;0,937;4,478;213,00;101,56;298,58
1,275;1,016;0,937;4,478;213,00;101,56;298,58
1,280;1,016;0,937;4,473;212,85;101,56;298,58
1,285;1,016;0,942;4,478;213,00;101,56;298,90
1,290;1,016;0,937;4,473;212,85;101,56;298,58
1,295;1,016;0,937;4,478;213,00;101,56;298,58
1,300;1,016;0,937;4,473;212,85;101,56;298,58
1,305;1,016;0,937;4,473;212,85;101,56;298,58
1,310;1,016;0,942;4,478;213,00;101,56;298,90
1,315;1,021;0,937;4,473;212,85;102,05;298,58
1,320;1,016;0,937;4,473;212,85;101,56;298,58
1,325;1,016;0,937;4,478;213,00;101,56;298,58
1,330;1,021;0,937;4,473;212,85;102,05;298,58
1,335;1,021;0,942;4,478;213,00;102,05;298,90
1,340;1,016;0,937;4,473;212,85;101,56;298,58
1,345;1,016;0,937;4,473;212,85;101,56;298,58
1,350;1,016;0,937;4,473;212,85;101,56;298,58
1,355;1,016;0,937;4,473;212,85;101,56;298,58
1,360;1,016;0,942;4,473;212,85;101,56;298,90
1,365;1,016;0,942;4,478;213,00;101,56;298,90
1,370;1,016;0,937;4,473;212,85;101,56;298,58
1,375;1,016;0,937;4,473;212,85;101,56;298,58
1,380;1,016;0,937;4,473;212,85;101,56;298,58
1,385;1,016;0,937;4,473;212,85;101,56;298,58
1,390;1,016;0,942;4,478;213,00;101,56;298,90
1,395;1,016;0,937;4,473;212,85;101,56;298,58
1,400;1,016;0,937;4,473;212,85;101,56;298,58
1,405;1,016;0,937;4,473;212,85;101,56;298,58
1,410;1,016;0,937;4,473;212,85;101,56;298,58
1,415;1,021;0,937;4,473;212,85;102,05;298,58
1,420;1,016;0,942;4,482;213,15;101,56;298,90
1,425;1,021;0,937;4,473;212,85;102,05;298,58
1,430;1,016;0,937;4,473;212,85;101,56;298,58
1,435;1,016;0,937;4,478;213,00;101,56;298,58
1,440;1,025;0,942;4,473;212,85;102,54;298,90
1,445;1,016;0,937;4,478;213,00;101,56;298,58
1,450;1,016;0,937;4,473;212,85;101,56;298,58
1,455;1,016;0,937;4,478;213,00;101,56;298,58
1,460;1,021;0,937;4,473;212,85;102,05;298,58
1,465;1,021;0,942;4,473;212,85;102,05;298,90
1,470;1,016;0,937;4,478;213,00;101,56;298,58
1,475;1,016;0,937;4,478;213,00;101,56;298,58
1,480;1,016;0,942;4,473;212,85;101,56;298,90
1,485;1,016;0,952;4,478;213,00;101,56;299,53
1,490;1,016;0,933;4,473;212,85;101,56;298,26
1,495;1,016;0,937;4,473;212,85;101,56;298,58
1,500;1,016;0,942;4,473;212,85;101,56;298,90
1,505;1,016;0,937;4,473;212,85;101,56;298,58
1,510;1,016;0,942;4,473;212,85;101,56;298,90
1,515;1,021;0,942;4,473;212,85;102,05;298,90
1,520;1,016;0,942;4,473;212,85;101,56;298,90
1,525;1,016;0,942;4,473;212,85;101,56;298,90
1,530;1,016;0,937;4,458;212,39;101,56;298,58
1,535;1,016;0,942;4,468;212,69;101,56;298,90
1,540;1,016;0,937;4,463;212,54;101,56;298,58
1,545;1,016;0,942;4,463;212,54;101,56;298,90
1,550;1,016;0,942;4,473;212,85;101,56;298,90
1,555;1,016;0,937;4,492;213,46;101,56;298,58
1,560;1,016;0,942;4,473;212,85;101,56;298,90
1,565;1,016;0,942;4,463;212,54;101,56;298,90
1,570;1,016;0,937;4,473;212,85;101,56;298,58
1,575;1,016;0,942;4,473;212,85;101,56;298,90
1,580;1,021;0,937;4,473;212,85;102,05;298,58
1,585;1,016;0,942;4,473;212,85;101,56;298,90
1,590;1,016;0,937;4,473;212,85;101,56;298,58
1,595;1,016;0,937;4,473;212,85;101,56;298,58
1,600;1,016;0,942;4,473;212,85;101,56;298,90
1,605;1,016;0,937;4,473;212,85;101,56;298,58
1,610;1,016;0,952;4,468;212,69;101,56;299,53
1,615;1,016;0,942;4,473;212,85;101,56;298,90
